"project_id","project_name","skills_required","team_size"
1,"Project_001","['Problem Solving', 'CSS', 'Agile', 'Communication']",3
2,"Project_002","['SQL', 'Cloud Computing', 'CSS']",6
3,"Project_003","['Networking', 'Agile']",3
4,"Project_004","['SQL', 'Java', 'CSS']",3
5,"Project_005","['Problem Solving', 'Networking', 'JavaScript', 'CSS']",2
6,"Project_006","['C++', 'Leadership', 'JavaScript', 'Machine Learning']",2
7,"Project_007","['Python', 'Agile', 'Data Analysis', 'Cloud Computing']",5
8,"Project_008","['Python', 'Java']",4
9,"Project_009","['Agile', 'Java']",2
10,"Project_010","['DevOps', 'Python', 'Leadership']",6
11,"Project_011","['Cloud Computing', 'Scrum', 'Project Management', 'Problem Solving']",4
12,"Project_012","['Project Management', 'Scrum', 'Data Analysis', 'Communication']",7
13,"Project_013","['Leadership', 'Java', 'Communication', 'Project Management', 'JavaScript']",2
14,"Project_014","['Leadership', 'HTML', 'Python', 'JavaScript', 'Machine Learning']",7
15,"Project_015","['Communication', 'Networking', 'Cloud Computing']",6
16,"Project_016","['SQL', 'Python', 'Project Management', 'Agile', 'Communication']",2
17,"Project_017","['Networking', 'Data Analysis', 'Cloud Computing', 'Leadership']",7
18,"Project_018","['Communication', 'Problem Solving']",5
19,"Project_019","['Leadership', 'Deep Learning']",6
20,"Project_020","['HTML', 'DevOps', 'Agile']",2
21,"Project_021","['Cloud Computing', 'C++', 'Deep Learning']",7
22,"Project_022","['CSS', 'Networking', 'JavaScript', 'Cloud Computing', 'Data Analysis']",3
23,"Project_023","['CSS', 'C++', 'JavaScript']",5
24,"Project_024","['CSS', 'Project Management']",5
25,"Project_025","['Data Analysis', 'Machine Learning', 'Cloud Computing', 'JavaScript']",7
26,"Project_026","['Cybersecurity', 'Cloud Computing', 'C++']",7
27,"Project_027","['Data Analysis', 'Agile', 'C++', 'Project Management']",5
28,"Project_028","['Cybersecurity', 'Problem Solving', 'Data Analysis', 'Scrum', 'Machine Learning']",2
29,"Project_029","['C++', 'JavaScript', 'Scrum', 'Project Management']",7
30,"Project_030","['JavaScript', 'Agile', 'Communication']",3
31,"Project_031","['Leadership', 'Agile', 'Python', 'Deep Learning']",2
32,"Project_032","['Leadership', 'Problem Solving', 'Project Management']",4
33,"Project_033","['DevOps', 'Agile', 'Data Analysis']",2
34,"Project_034","['Python', 'Cybersecurity', 'Networking', 'Project Management', 'HTML']",4
35,"Project_035","['Cloud Computing', 'Networking', 'HTML']",6
36,"Project_036","['HTML', 'Java', 'Project Management', 'Deep Learning']",6
37,"Project_037","['Machine Learning', 'Agile']",5
38,"Project_038","['Cloud Computing', 'Deep Learning', 'Leadership']",2
39,"Project_039","['HTML', 'SQL', 'Data Analysis', 'Java']",3
40,"Project_040","['Leadership', 'Deep Learning', 'CSS', 'Python', 'Scrum']",4
41,"Project_041","['Cloud Computing', 'Communication', 'Leadership', 'Cybersecurity', 'C++']",6
42,"Project_042","['Deep Learning', 'SQL', 'Cybersecurity', 'Leadership']",2
43,"Project_043","['Project Management', 'Agile', 'Java']",7
44,"Project_044","['Networking', 'CSS', 'HTML', 'Scrum']",7
45,"Project_045","['Deep Learning', 'HTML', 'SQL', 'Cybersecurity', 'DevOps']",7
46,"Project_046","['Communication', 'Agile']",2
47,"Project_047","['Leadership', 'Problem Solving', 'CSS']",2
48,"Project_048","['Communication', 'Cloud Computing']",3
49,"Project_049","['JavaScript', 'DevOps']",7
50,"Project_050","['Agile', 'Problem Solving', 'HTML', 'Leadership']",3
51,"Project_051","['JavaScript', 'Data Analysis']",5
52,"Project_052","['Deep Learning', 'CSS', 'Leadership', 'C++', 'Networking']",7
53,"Project_053","['Machine Learning', 'Networking', 'Communication', 'Python', 'JavaScript']",2
54,"Project_054","['JavaScript', 'Cloud Computing']",7
55,"Project_055","['Python', 'Agile', 'Cloud Computing']",4
56,"Project_056","['Agile', 'CSS']",5
57,"Project_057","['Problem Solving', 'Deep Learning', 'HTML', 'JavaScript', 'Project Management']",2
58,"Project_058","['Leadership', 'Python', 'Scrum']",6
59,"Project_059","['C++', 'DevOps', 'Cybersecurity', 'JavaScript', 'SQL']",7
60,"Project_060","['CSS', 'Scrum']",2
61,"Project_061","['Project Management', 'JavaScript', 'Java', 'HTML', 'SQL']",7
62,"Project_062","['C++', 'Cybersecurity', 'Machine Learning']",2
63,"Project_063","['JavaScript', 'DevOps']",4
64,"Project_064","['Cybersecurity', 'CSS', 'Problem Solving', 'Python']",3
65,"Project_065","['Java', 'DevOps', 'Deep Learning', 'Networking']",3
66,"Project_066","['Project Management', 'DevOps', 'Communication', 'Agile', 'SQL']",7
67,"Project_067","['Java', 'Data Analysis']",2
68,"Project_068","['HTML', 'Deep Learning', 'SQL']",3
69,"Project_069","['Agile', 'Communication', 'Machine Learning']",3
70,"Project_070","['C++', 'Cybersecurity', 'Machine Learning', 'Agile', 'Leadership']",7
71,"Project_071","['Leadership', 'Networking', 'C++']",4
72,"Project_072","['HTML', 'Cybersecurity', 'SQL', 'C++', 'Machine Learning']",7
73,"Project_073","['Communication', 'Agile', 'DevOps']",6
74,"Project_074","['Problem Solving', 'HTML', 'Project Management']",5
75,"Project_075","['Python', 'Data Analysis', 'C++', 'Machine Learning', 'JavaScript']",6
76,"Project_076","['Cybersecurity', 'Problem Solving']",2
77,"Project_077","['C++', 'Communication', 'Project Management', 'Machine Learning']",3
78,"Project_078","['Machine Learning', 'Python', 'JavaScript']",5
79,"Project_079","['Leadership', 'JavaScript', 'Agile']",3
80,"Project_080","['Agile', 'Cloud Computing', 'JavaScript', 'DevOps']",4
81,"Project_081","['Cybersecurity', 'Machine Learning', 'JavaScript', 'Java']",3
82,"Project_082","['Leadership', 'CSS', 'Communication', 'Scrum']",5
83,"Project_083","['Machine Learning', 'Python', 'DevOps']",7
84,"Project_084","['HTML', 'Scrum', 'Leadership']",6
85,"Project_085","['Java', 'Communication', 'Data Analysis', 'Problem Solving']",7
86,"Project_086","['CSS', 'Networking', 'Communication', 'Agile', 'Deep Learning']",4
87,"Project_087","['DevOps', 'Data Analysis', 'Deep Learning', 'C++', 'Cybersecurity']",5
88,"Project_088","['C++', 'Scrum', 'Agile', 'Data Analysis']",2
89,"Project_089","['Agile', 'Java', 'C++']",7
90,"Project_090","['Cybersecurity', 'Cloud Computing', 'Python', 'Problem Solving']",7
91,"Project_091","['Cloud Computing', 'Scrum', 'DevOps']",7
92,"Project_092","['Leadership', 'Python']",6
